repository_name,date,clones,unique_visitors/cloners
proyek-html-tim-proa-golang,2022-08-19,1,1
simpletask-backend,2022-08-08,11,8
simpletask-backend,2022-08-09,1,1
simpletask-backend,2022-08-10,5,2
simpletask-backend,2022-08-19,1,1
simpletask-frontend,2022-08-07,24,9
simpletask-frontend,2022-08-08,36,10
simpletask-frontend,2022-08-09,1,1
simpletask-frontend,2022-08-19,1,1
