repository_name,date,clones,unique_visitors/cloners
github-stats,2022-09-29,21,8
github-stats,2022-09-30,68,23
github-stats,2022-10-01,74,25
github-stats,2022-10-02,67,22
github-stats,2022-10-03,84,28
github-stats,2022-10-04,71,27
github-stats,2022-10-05,74,25
github-stats,2022-10-06,72,25
github-stats,2022-10-07,109,35
github-stats,2022-10-08,121,36
github-stats,2022-10-09,117,37
github-stats,2022-10-10,115,38
github-stats,2022-10-11,111,34
github-stats,2022-10-12,111,35
github-stats,2022-10-13,74,26
