date,path,title,count,uniques
2022-08-21,/awang-karisma/simpletask-frontend,GitHub - awang-karisma/simpletask-frontend,10,4
2022-08-21,/awang-karisma/simpletask-frontend/tree/main/src/routes,simpletask-frontend/src/routes at main · awang-karisma/simpletask-frontend,2,1
2022-08-21,/awang-karisma/simpletask-frontend/tree/main/static,simpletask-frontend/static at main · awang-karisma/simpletask-frontend,2,1
2022-08-21,/awang-karisma/simpletask-frontend/tree/main/static/images,simpletask-frontend/static/images at main · awang-karisma/simpletask-frontend,2,1
2022-08-21,/awang-karisma/simpletask-frontend/blob/main/.github/workflows/main.yml,simpletask-frontend/main.yml at main · awang-karisma/simpletask-frontend,1,1
2022-08-21,/awang-karisma/simpletask-frontend/blob/main/.gitignore,simpletask-frontend/.gitignore at main · awang-karisma/simpletask-frontend,1,1
2022-08-21,/awang-karisma/simpletask-frontend/blob/main/src/routes/index.svelte,simpletask-frontend/index.svelte at main · awang-karisma/simpletask-frontend,1,1
2022-08-21,/awang-karisma/simpletask-frontend/blob/main/src/routes/__layout.svelte,simpletask-frontend/__layout.svelte at main · awang-karisma/simpletask-frontend,1,1
2022-08-21,/awang-karisma/simpletask-frontend/blob/main/src/types/TableData.type.ts,simpletask-frontend/TableData.type.ts at main · awang-karisma/simpletask-fron...,1,1
2022-08-21,/awang-karisma/simpletask-frontend/blob/main/static/images/fotoprofil.jpg,simpletask-frontend/fotoprofil.jpg at main · awang-karisma/simpletask-frontend,1,1
