repository_name,date,clones,unique_visitors/cloners
github-stats,2022-10-06,3,2
github-stats,2022-10-07,109,35
github-stats,2022-10-08,121,36
github-stats,2022-10-09,117,37
github-stats,2022-10-10,115,38
github-stats,2022-10-11,111,34
github-stats,2022-10-12,111,35
github-stats,2022-10-13,115,38
github-stats,2022-10-14,110,32
github-stats,2022-10-15,114,35
github-stats,2022-10-16,108,35
github-stats,2022-10-17,105,35
github-stats,2022-10-18,106,36
github-stats,2022-10-19,110,35
github-stats,2022-10-20,100,32
