repository_name,date,clones,unique_visitors/cloners
github-stats,2022-08-31,47,16
github-stats,2022-09-01,111,28
github-stats,2022-09-02,94,28
github-stats,2022-09-03,71,23
github-stats,2022-09-04,72,23
github-stats,2022-09-05,64,24
github-stats,2022-09-06,62,22
github-stats,2022-09-07,57,19
github-stats,2022-09-08,59,21
github-stats,2022-09-09,64,23
github-stats,2022-09-10,71,24
github-stats,2022-09-11,67,24
github-stats,2022-09-12,68,23
github-stats,2022-09-13,67,24
github-stats,2022-09-14,27,11
