repository_name,date,clones,unique_visitors/cloners
github-stats,2022-08-04,92,23
github-stats,2022-08-05,444,87
github-stats,2022-08-06,566,102
github-stats,2022-08-07,592,104
github-stats,2022-08-08,463,92
github-stats,2022-08-09,445,86
github-stats,2022-08-10,459,94
github-stats,2022-08-11,434,86
github-stats,2022-08-12,426,83
github-stats,2022-08-13,482,92
github-stats,2022-08-14,476,92
github-stats,2022-08-15,381,79
github-stats,2022-08-16,435,89
github-stats,2022-08-17,372,75
github-stats,2022-08-18,235,52
simpletask-backend,2022-08-08,11,8
simpletask-backend,2022-08-09,1,1
simpletask-backend,2022-08-10,5,2
simpletask-frontend,2022-08-07,24,9
simpletask-frontend,2022-08-08,36,10
simpletask-frontend,2022-08-09,1,1
