repository_name,date,views,unique_visitors/cloners
simpletask-backend,2022-08-08,17,1
simpletask-backend,2022-08-10,4,2
simpletask-frontend,2022-08-07,32,1
simpletask-frontend,2022-08-08,25,2
simpletask-frontend,2022-08-10,3,1
